S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
473,27,0,359,54,0,0,0,0,0
473,27,0,359,54,0,0,0,0,1
471,29,0,359,54,0,0,0,0,2
470,30,0,359,54,0,0,0,0,3
465,35,0,359,54,0,0,0,0,4
460,40,0,361,60,0,6,0,2,5
455,45,0,362,62,0,10,0,6,6
450,50,0,365,70,0,19,1,9,7
442,58,0,365,70,0,18,2,10,8
431,69,0,366,73,0,22,2,10,9
423,77,0,366,76,0,27,3,11,10
410,90,0,368,79,0,30,3,14,11
407,93,0,369,82,0,34,3,16,12
400,100,0,370,84,0,34,5,16,13
393,107,0,371,88,0,41,5,18,14
386,87,27,367,81,0,36,3,13,15
376,95,29,368,85,0,39,4,14,16
369,101,30,370,90,0,41,6,17,17
364,101,35,371,89,0,36,8,19,18
352,105,40,369,86,3,38,4,19,19
347,104,45,369,88,1,40,3,20,20
339,106,50,369,92,1,45,2,24,21
334,104,57,368,89,0,41,1,27,22
329,99,67,366,88,0,40,1,24,23
321,100,74,368,91,0,40,3,27,24
310,100,85,368,89,0,37,4,23,25
304,103,88,368,90,0,39,4,27,26
296,104,95,365,89,0,38,4,27,27
291,100,102,363,89,2,40,3,22,28
287,98,108,361,86,0,40,1,23,29
282,93,118,364,90,0,44,1,21,30
276,91,125,363,93,1,46,1,19,31
274,88,130,364,93,0,43,3,19,32
271,80,140,363,89,1,37,4,17,33
269,77,145,364,92,0,37,5,15,34
265,72,153,362,90,1,32,7,17,35
259,70,158,359,88,3,33,4,15,36
256,67,163,358,83,1,29,3,17,37
255,61,169,357,82,1,24,5,16,38
252,54,179,356,75,0,21,3,13,39
249,52,184,355,75,0,21,3,14,40
245,49,190,354,73,1,21,2,13,41
244,45,195,353,72,0,19,3,12,42
243,43,198,353,74,0,19,4,11,43
242,40,202,353,71,0,15,4,12,44
239,36,208,351,67,1,14,1,9,45
237,36,210,351,67,0,14,1,10,46
235,35,213,352,71,0,17,1,9,47
231,37,215,351,70,0,16,1,8,48
229,35,219,351,68,0,11,3,9,49
228,30,225,351,66,0,10,2,7,50
