S,I,R,WM,SD,death,mild,severe,asymptomatic,timestep
472,28,0,390,48,0,0,0,0,0
472,28,0,390,48,0,0,0,0,1
472,28,0,390,48,0,0,0,0,2
468,32,0,390,48,0,0,0,0,3
463,37,0,390,48,0,0,0,0,4
452,48,0,394,56,0,10,0,2,5
444,56,0,394,61,0,16,0,5,6
432,68,0,395,64,0,22,0,9,7
426,74,0,395,66,0,26,0,9,8
417,83,0,395,70,0,28,2,11,9
406,94,0,396,72,0,30,2,12,10
395,105,0,398,78,0,38,2,16,11
389,111,0,400,80,0,39,3,21,12
382,118,0,401,83,0,44,3,25,13
372,128,0,403,88,0,49,4,28,14
357,115,28,401,79,0,37,3,27,15
348,124,28,403,85,0,42,5,27,16
338,130,32,405,88,0,44,7,29,17
329,133,37,405,90,1,41,10,29,18
320,131,48,406,90,0,39,11,31,19
314,126,55,402,87,4,42,7,31,20
305,121,66,397,88,3,46,4,27,21
302,119,71,399,90,0,50,3,30,22
298,116,78,398,93,0,53,4,28,23
293,113,86,397,93,0,50,6,28,24
288,106,97,396,92,1,51,3,27,25
281,107,103,396,94,0,51,3,26,26
276,103,110,392,92,2,51,1,24,27
273,97,119,392,93,0,49,3,22,28
271,85,133,391,85,0,39,5,20,29
266,82,141,391,83,0,37,5,17,30
257,81,151,390,82,0,35,5,15,31
254,75,160,389,84,0,32,5,16,32
252,68,169,388,78,0,26,5,14,33
248,66,175,388,75,0,25,3,16,34
246,59,184,388,74,0,24,3,17,35
241,60,187,388,73,1,24,2,15,36
239,58,191,389,74,0,27,1,15,37
239,53,196,389,72,0,24,2,15,38
236,51,201,389,71,0,23,2,13,39
235,46,207,388,72,0,25,2,10,40
232,44,212,389,71,0,22,3,9,41
230,43,215,389,70,0,18,5,11,42
229,41,217,388,69,1,18,4,9,43
226,39,222,386,65,0,16,3,8,44
224,30,231,382,60,2,13,1,6,45
224,29,232,383,60,0,13,1,6,46
224,27,234,382,60,0,13,1,7,47
224,23,237,381,58,1,12,0,6,48
221,24,239,380,58,0,12,0,8,49
221,19,244,380,55,0,9,0,6,50
